reviews,score,likes,time,app_name,year,reviews_en
"O serviço é maravilhoso, tudo que foi prometido foi cumprido, o problema é que jogar jogo de PC na tela do celular é decepcionante. Assassin's Creed Odyssey, um jogo lindo, ficou como qualquer jogo Mobile. Mas se um dia eu puder comprar um PC decente, vou assinar de novo",4,1,15/11/2022,Xbox Game Pass (Beta),2022,"The service is wonderful, everything that was promised was fulfilled, the problem is that playing PC games on the cell phone screen is disappointing. Assassin's Creed Odyssey, a beautiful game, became like any mobile game. But if I can buy a decent PC one day, I'll subscribe again."
"estou adorando jogar jogos do console em um Celular , mano melhor coisa de já inventaram .. só não 5 estrelas pela instabilidade nos dados Móveis, mais no wi-fi 5.8 fica incrível",4,0,11/04/2023,Xbox Game Pass (Beta),2023,"I'm loving playing console games on a cell phone, the best thing they've ever invented."
"Muito bom, poder jogar jogos do gamepass xbox no celular, smart tv, tablets, portabilidade de milhões. Excelente.",5,2,11/02/2023,Xbox Game Pass (Beta),2023,"Very good, being able to play xbox gamepass games on cell phones, smart tv, tablets, portability of millions. Great."
"O aplicativo poderia ser ótimo, mas a tela fica cortada dos lados em muitos dispositivos. Ao disponibilizarem a função da opção de tela cheia irei alterar minha avaliação.",1,8,02/11/2022,Xbox Game Pass (Beta),2022,"The app could be great, but the screen is cropped on the sides on many devices. When they make available the function of the full screen option, I will change my evaluation."
Excelente! poder rodar games de alta qualidade no celular e ainda com joystick é outro nível!!!,5,0,20/02/2023,Xbox Game Pass (Beta),2023,Great! being able to run high quality games on your cell phone and even with a joystick is another level!!!
Precisa melhorar muito a qualidade tá caindo muito o gráfico desempenho horríveis,1,2,20/04/2023,Xbox Game Pass (Beta),2023,Need to improve a lot the quality is dropping a lot the graphic performance is horrible
"Superior ao Original, bom comprei meu controle e paguei assinatura e na hora de jogar o ORIGINAL XBOX GAME PASS, NÃO QUIS ACEITAR MEU CONTROLE FALSO!, JÁ ESSE ACEITOU NORMALMENTE.",5,0,12/04/2023,Xbox Game Pass (Beta),2023,"Superior to the Original, well I bought my controller and paid for the subscription and when it came to playing the ORIGINAL XBOX GAME PASS, I DIDN'T WANT TO ACCEPT MY FAKE CONTROL!"
"Recomendo, mas, seria viável trazer teclado e mouse, além de adicionar novos jogos e arrumar a instabilidade do Wi-Fi 5G.",3,3,05/03/2023,Xbox Game Pass (Beta),2023,"I recommend it, but it would be feasible to bring a keyboard and mouse, in addition to adding new games and fixing the instability of the 5G Wi-Fi."
"Tem uma ótima variedade de jogos, desde jogos pra pessoas exigentes, até jogos mais simples focados na narrativa ou na história. Entrega muito por um valor relativamente baixo.",5,4,30/12/2022,Xbox Game Pass (Beta),2022,"It has a great variety of games, from games for demanding people, to simpler games focused on narrative or story. It delivers a lot for a relatively low price."
"Olha, eu sei que está em beta e tals, mas porque ao em vez de tudo ser pago é bom colocar anúncios no lugar.",3,0,16/02/2023,Xbox Game Pass (Beta),2023,"Look, I know it's in beta and stuff, but instead of everything being paid it's nice to put ads in place."
Horrível não dá pra comprar game pass pelo app não recomendo quem diz que é bom é pq tem problemas de cabeça pq se você não comprar game pass não joga porém não tem como comprar pq o aplicativo está bugado,1,3,14/02/2023,Xbox Game Pass (Beta),2023,"Horrible, you can't buy game pass through the app, I don't recommend anyone who says it's good because they have headaches because if you don't buy game pass, you can't play but you can't buy it because the app is buggy"
"Eu espero que vocês adicionem logo o modo tela realmente cheia no celular, porque é muito desconfortável os jogos não preencherem a tela em celulares com telas de 6 POLEGADAS. Tirando isso o app é extremamente perfeito!!! Contém um catálogo simplesmente incrível, porém vocês precisam continuar atualizando o app para que recursos cruciais entrem (como o preenchimento inteiro da imagem dos jogos).",3,6,18/12/2022,Xbox Game Pass (Beta),2022,"I hope you add the real full screen mode on mobile soon, because it is very uncomfortable for games not to fill the screen on mobile phones with 6 INCH screens. Apart from that the app is extremely perfect!!! It contains a simply amazing catalog, however you guys need to keep updating the app for crucial features to come in (like full game image fill)."
"Testei no meu Samsung A52 e sinceramente, adorei. Zerei o MK11 e vou zerar o Injustice2. A queda de frame é mínima, depende da internet. Eu não me importo em algumas quedas, visto que estou jogando um jogo de console na tela do meu celular. E posso espelhar para a TV que fica melhor ainda. Tem ajustes para fazer no app, mas no geral gostei muito. Vou até fazer uma assinatura mensal para minha conta, e ter meus próprios saves dos jogos. Joguei com um controle Ípega que reconheceu na msm hora.",5,0,05/04/2023,Xbox Game Pass (Beta),2023,"I tested it on my Samsung A52 and honestly, I loved it. I beat MK11 and I'm going to beat Injustice2. The frame drop is minimal, it depends on the internet. I don't mind a few drops seeing as I'm playing a console game on my phone screen. And I can mirror it to the TV, which is even better. There are adjustments to be made to the app, but overall I really liked it. I'll even make a monthly subscription to my account, and have my own game saves. I played with an Ípega controller that it recognized right away."
o app e excelente pra quem não tem uma condição de te um PC ou vídeo game só 1 ponto de observação só achei o valor um pouquinho caro,5,0,15/03/2023,Xbox Game Pass (Beta),2023,the app is excellent for those who do not have a PC or video game only 1 observation point I just found the value a little expensive
Falta bastante jogos ainda com configurações de jogar sem controle e teclado pagar 44 reais lra,2,1,11/02/2023,Xbox Game Pass (Beta),2023,There are still a lot of games missing with settings for playing without a controller and keyboard paying 44 reais lra
"ótimo app, só tem que otimizar melhor para que o gamepad bluetooth não de interferência",4,0,19/03/2023,Xbox Game Pass (Beta),2023,"great app, just have to optimize better so that the bluetooth gamepad does not interfere"
o app e otimo 100% lindo jogabilidade incrivel graficos bem otimizados mais seria legal tmb se colocassem euro truck god of war é gta 5,5,1,09/03/2023,Xbox Game Pass (Beta),2023,the app is great 100% beautiful gameplay amazing well optimized graphics but it would be cool too if they put euro truck god of war is gta 5
falta um acesso mais simples a lista de desejos.,4,0,15/02/2023,Xbox Game Pass (Beta),2023,simpler access to the wish list is missing.
"Não aparece o botão ""jogar"" no app, apenas o ""instalar"". Logo, não consigo jogar nada na nuvem. Quando vou em configurações, lá está informando que o app não funciona com o o game pass ultimate. Por favor, arrumem isso!",1,4,31/10/2022,Xbox Game Pass (Beta),2022,"The ""play"" button does not appear in the app, only the ""install"" button. So I can't play anything in the cloud. When I go to settings, it says that the app does not work with the game pass ultimate. Please fix this!"
"O app é bom mais realmente gostaria que fosse possível sincronizar com outras contas como dá steam,origin e uplay assim como é possível no geforce now aumentaria muito a gama de jogos que poderia ser jogados pelo celular com essas adições",3,1,07/12/2022,Xbox Game Pass (Beta),2022,"The app is good but I would really like it to be possible to synchronize with other accounts such as steam, origin and uplay as is possible with geforce now, it would greatly increase the range of games that could be played on the cell phone with these additions"
Na atualização vcs desativarm mapa bing o simulador de voo e perdeu todas as textura de cidades e rodovias tempo real não tem mais o jogo ficou orivel!!!,2,1,17/11/2022,Xbox Game Pass (Beta),2022,"In the update, you deactivated the bing map, the flight simulator and lost all the textures of cities and highways in real time, the game was gone!!!"
"Quando puder, adicionar: opção para dois players local, qualidade de imagem em 4K, biblioteca de jogos, a vibração compatível para todos os controles. 👍",5,2,07/12/2022,Xbox Game Pass (Beta),2022,"When you can, add: local two player option, 4K picture quality, game library, vibration compatible for all controllers. 👍"
"Que decepção a gente comprar um controle com vibração e até hoje os app e navegadores de android não ter suporte a vibração do controle, só por meio de gambiarra que ainda funciona em alguns celulares usando o chrome.",3,1,11/01/2023,Xbox Game Pass (Beta),2023,"What a disappointment for us to buy a control with vibration and even today, android apps and browsers do not support the vibration of the control, only through a workaround that still works on some cell phones using chrome."
"Assinei joguei 2 dias e tem 3 dias que nao consigo jogar tenho controle internet 5G, nao vai estou decepscionado pois optei em comprar um controle so para usar a plataforma de voces, arrumen logo esse negocio e espero que me dem os 3 dias que nao consigo joga, realmente está sendo uma experiencia muito negativa.",1,3,12/12/2022,Xbox Game Pass (Beta),2022,"I signed up I played for 2 days and there are 3 days that I can't play I have a 5G internet controller, I'm not disappointed because I chose to buy a controller just to use your platform, fix this thing soon and I hope you give me the 3 days that I can't plays, it's really been a very negative experience."
"Gostei da Possibilidade dos games, porém não poder jogar todos é meio brocha, e outro ponto negativo são não ter em português os que já tem em português, isso é o mais chato mk11 por exemplo é um deles.",5,2,07/12/2022,Xbox Game Pass (Beta),2022,"I liked the Possibility of the games, but not being able to play them all is a bit of a bummer, and another negative point is not having in Portuguese the ones you already have in Portuguese, this is the most annoying thing, mk11 for example is one of them."
Só faltou jogar local multiplayer com dois joystick,3,0,13/03/2023,Xbox Game Pass (Beta),2023,The only thing missing was playing local multiplayer with two joysticks
"O aplicativo ainda n conta com assinaturas, e quando for ter, por favor, aceitar cartão de débito. O aplicativo também não conta com Fortnite como jogo gratuito jogável.",3,2,13/11/2022,Xbox Game Pass (Beta),2022,"The application does not yet have subscriptions, and when it does, please accept debit card. The app also doesn't feature Fortnite as a free playable game."
App muito bom para algo bem complexo. Incrível como ta sendo o trabalho da Microsoft nessa nova geração. Jogar nunca foi tão acessível quanto ta sendo agora,5,2,05/11/2022,Xbox Game Pass (Beta),2022,Very good app for something very complex. It's amazing how Microsoft's work has been in this new generation. Gaming has never been as accessible as it is now.
"Experiência Horrível(pelo menos no mobile) Em um celular fraco(2gb ram/32gb) Conexão com a internet e estabilidade estavam muito ruim comandos acontecem depois de um tempo e o próprio aplicativo não è otimizado para celular e tv box, exijo uma estabilidade melhor, assinei o serviço e não estou impressionado com nada ainda.",1,1,17/12/2022,Xbox Game Pass (Beta),2022,"Horrible experience (at least on mobile) On a weak cell phone (2gb ram/32gb) Internet connection and stability were very bad commands happen after a while and the app itself is not optimized for cell phones and tv box, I demand better stability , I subscribed to the service and I'm not impressed with anything yet."
Dia 17/11/2022 sistema indisponível no dois Aplicativos da Xbox bugs e bugs isso normal da Microsoft você paga por um serviço de anos e anos mais nunca mudo.....,1,0,17/11/2022,Xbox Game Pass (Beta),2022,On 11/17/2022 system unavailable on both Xbox apps bugs and bugs that's normal from Microsoft you pay for a service for years and years but never change.....
"Muito bom pra jogar no xcloud, ainda precisam de ajustes no desempenho e quem sabe tela cheia, mas no geral tá show",4,0,31/01/2023,Xbox Game Pass (Beta),2023,"Very good to play on xcloud, they still need performance adjustments and who knows full screen, but in general it's ok"
"Pra mim é perfeito! Pra vc, depende da sua conexão, vejo a galera falando de lag, mas para todos que testei não tive problema algum, o game parecia estar rodando nativamente. Pra min eles poderiam lançar um game pass ""mobile"" onde oferecesse uma assinatura mais barata pra quem não vai jogar no PC nem tem um console (fica a dica).",5,535,27/02/2022,Xbox Game Pass (Beta),2022,"For me it's perfect! For you, it depends on your connection, I see people talking about lag, but for everyone I tested, I didn't have any problems, the game seemed to be running natively. For me, they could launch a ""mobile"" game pass where they offered a cheaper subscription for those who are not going to play on the PC or have a console (here's the tip)."
O app últimamente está bugando travando muito e com gráficos péssimo e o plobrema n a internet por q antes quando eu joga n tinha nenhum desses bug já tentei fazer d tudo toda hora trava 😡😡,1,1,28/11/2022,Xbox Game Pass (Beta),2022,"Lately the app has been buggy, crashing a lot and with terrible graphics and the problem on the internet because before when I play I didn't have any of these bugs I've tried to do everything all the time it crashes 😡😡"
"achei o aplicativo ótimo joguei muitos jogos na nuvem (sem que precise instalar nenhum deles e nem de um dispositivo forte) e continuo jogando quando preciso. Minha única crítica é que quando vai jogar Sea of Thieves tem um delay maior quando vai utilizar o controle de tela (o controle de tela é quando você utiliza a tela do dispositivo ao invés do controle), mas em NENHUM momento tive problema quando utilizei o controle Xbox via bluetooth.",5,25,30/10/2021,Xbox Game Pass (Beta),2021,"I found the application great, I played many games in the cloud (without having to install any of them and not even a strong device) and I continue to play when I need to. My only criticism is that when playing Sea of ​​Thieves there is a longer delay when using the screen control (the screen control is when you use the device's screen instead of the controller), but I NEVER had a problem when using the Xbox controller via bluetooth."
Muito bom. Só poderiam melhorar a resolução da transmissão e modo de ocupar a tela inteira,5,4,13/12/2022,Xbox Game Pass (Beta),2022,Very good. They could only improve the resolution of the transmission and how to occupy the entire screen
App muito completo varios jogos só faltou colocar o fifa para jogar no xcloud com controle ai sim daria 5 estrelas sei que o serviço é novo mas por favor adicionem o fifa no xcloud o mais rápido possivel,4,4,15/01/2023,Xbox Game Pass (Beta),2023,"Very complete app, several games, just missing to put fifa to play on xcloud with controller, yes, I would give 5 stars, I know the service is new, but please add fifa to xcloud as soon as possible"
"o site tem uma estabilidade melhor que o próprio aplicativo, ter a função de escolher a qualidade de imagem seria interessante também",3,1,06/11/2022,Xbox Game Pass (Beta),2022,"the website has better stability than the application itself, having the function to choose the image quality would be interesting too"
"Gostei muito do app, servidores exelente testei por 3 meses, mais ja acabou, vocês poderiam trazer mais jogos legais de graça, iria ser bom, muitos n tem condições ai se trouxesse mais jogos free iria ser muito bomm",5,2,16/12/2022,Xbox Game Pass (Beta),2022,"I really liked the app, excellent servers I tested it for 3 months, but it's over, you could bring more cool games for free, it would be good, many don't have conditions there if you brought more free games it would be very good"
A única coisa que tá faltando e o modo tela cheia poxa e a empresa praticamente mais rica do mundo e não tem profissional para fazer isso,5,3,17/11/2022,Xbox Game Pass (Beta),2022,"The only thing that's missing is the full screen mode, wow, and the company is practically the richest in the world and doesn't have a professional to do this"
"Eu acho incrível o Xbox game pass,com jogos pra passar horas jogando.Mas algo que me intriga é ter Fortnite e não ter nem Multiversus e nem Rocket League no catálogo,sem contar o Stumble Guys ainda,Tendo essa possibilidade de ter mais jogos pra jogar online.De resto é ótima opção para qualquer gamer.",4,1,06/02/2023,Xbox Game Pass (Beta),2023,"I think the Xbox game pass is amazing, with games to spend hours playing. But something that intrigues me is having Fortnite and not having either Multiversus or Rocket League in the catalog, not to mention Stumble Guys yet, having this possibility of having more games to play online. Besides, it's a great option for any gamer."
Não funciona a opção de jogar na nuvem. Há tentei diversas formas e somente o app não funciona.,1,1,31/01/2023,Xbox Game Pass (Beta),2023,The option to play in the cloud does not work. I've tried several ways and only the app doesn't work.
"De um mês pra cá,não reconhece meu login (mas todo mês desconta no meu cartão)",1,0,19/04/2023,Xbox Game Pass (Beta),2023,"From a month ago, it does not recognize my login (but every month it deducts from my card)"
Ótimo só falta adicionar jogos grátis pra jogar sem o game pass,4,0,14/04/2023,Xbox Game Pass (Beta),2023,Great just need to add free games to play without game pass
"Depois da chegada do fortnite o serviço está travando demais! Sou desde a época que era a Preview e nunca vi atualizações que mexe no desempenho do aplicativo, e quando tem, passa despercebido, pois parece que não muda nada no desempenho, somente na interface. Mas, nas últimas semanas, parece que pirou 2X mais depois da chegada do fortnite.",3,31,29/05/2022,Xbox Game Pass (Beta),2022,"After the arrival of fortnite, the service is crashing too much! I've been there since Preview and I've never seen updates that affect the application's performance, and when they do, it goes unnoticed, because it seems that nothing changes in performance, only in the interface. But in the last few weeks it seems to have freaked out 2X more after fortnite arrived."
"infelizmente a assinatura do game pass nao esta disponivel neste aplicativo, pq está aparecendo isso ?",5,0,09/04/2023,Xbox Game Pass (Beta),2023,"unfortunately the game pass subscription is not available in this application, why is this appearing?"
"Adicionar cast to tv, usar celular como se fosse gamepad e a imagem aparece na tv",5,0,07/04/2023,Xbox Game Pass (Beta),2023,"Add cast to tv, use the cell phone as if it were a gamepad and the image appears on the tv"
"É necessário um app exclusivo pro xCloud. Focado em jogar. Contendo apenas os ícones dos jogos e o botão ""JOGAR"". E ao lado um botão ""SAIBA MAIS"" pra redirecionar para o site do Xbox, caso a pessoa queira ver mais informações sobre o jogo em questão. O app deveria ser mais clean e menos poluído. Rodar em dispositivos mais antigos é um tanto quanto sofrível. O serviço Game Pass é excelente. Assino desde o começo. Mas tá faltando um app pra xCloud. Esse do Game Pass é muito pesado muito poluído.",4,17,22/11/2021,Xbox Game Pass (Beta),2021,"An exclusive app for xCloud is required. Focused on playing. Containing only game icons and the ""PLAY"" button. And next to it a ""LEARN MORE"" button to redirect to the Xbox website, in case the person wants to see more information about the game in question. The app should be cleaner and less polluted. Running on older devices is a bit of a pain. The Game Pass service is excellent. I subscribe from the beginning. But an app for xCloud is missing. The one from Game Pass is very heavy and very polluted."
"Só falta um mapeamento de controles para ficar perfeito. A grande maioria dos gamepads não funciona um ou outro botão sabe lá o motivo. Jogando pelo navegador funciona tudo perfeitamente, mas no app não. Eu não vou comprar um controle de R$500 conto (xbox) nem ferrando pra jogar no celular.",4,23,20/11/2021,Xbox Game Pass (Beta),2021,"It just needs a mapping of controls to be perfect. The vast majority of gamepads don't work one or the other button knows why. Playing through the browser everything works perfectly, but not in the app. I'm not going to buy a controller for R$500 (xbox) or screwing it up to play on my cell phone."
Funciona muito bem. Os controles touch funcionam melhor do que o esperado. Porém tem problema de compatibilidade com tema escuro (não aparece o emblema branco dizendo que funciona com touch) e também não achei um jeito de pesquisar por nome.,4,13,31/12/2021,Xbox Game Pass (Beta),2021,"It Works very well. Touch controls work better than expected. However, there is a compatibility problem with the dark theme (the white emblem does not appear saying that it works with touch) and I also did not find a way to search by name."
"Da última vez que comentei ( novembro de 2021 ). Eles conseguiram melhorar bastante, principalmente no quesito da qualidade da imagem, melhorou muito, o atraso de comando diminuiu bastante. So o que precisa melhorar agora é continuar a trazer jogos de qualidade, como Monster Hunter World, Warframe, Crysis 3, Elden Ring, Citei esses games por serem antigos e nisso facilita trazê-los.",4,32,05/08/2022,Xbox Game Pass (Beta),2022,"Last time I commented (November 2021). They managed to improve a lot, especially in terms of image quality, it improved a lot, the command delay decreased a lot. So what needs to improve now is to continue to bring quality games, such as Monster Hunter World, Warframe, Crysis 3, Elden Ring, I mentioned these games because they are old and that makes it easier to bring them."
"Olá! O app é bom,mas tem bugs no gráfico e refaz imagem toda hora acho que para não perder em input lag..já no navegador a imagem fica boa quase que o tempo todo,mas qualquer queda na internet ou horário de pico o input lag fica quase injogavel e mesmo quando está em horários propícios existe lag.deveria ter um equilíbrio aí entre app e navegador...imagem estável e sem lag..meu sonho..mas a proposta é maravilhosa espero que melhore estou usando um moto G8 plus(sei que não é tão bom)",3,26,29/01/2022,Xbox Game Pass (Beta),2022,"Hello! The app is good, but it has bugs in the graphic and it remakes the image all the time, I think so as not to lose input lag. it's almost unplayable and even when it's at favorable times there is lag. there should be a balance there between app and browser... stable image and without lag.. my dream.. but the proposal is wonderful I hope it gets better I'm using a moto G8 plus (I know it's not that good)"
"Faltam ainda algumas pequenas melhorias - principalmente na estabilidade da conexão em horários de grande acesso - o que não compromete a experiência de poder jogar grandes títulos da plataforma Xbox nos seu próprio celular sem a necessidade de um grande poder de processamento e memória, pois tudo é feito na nuvem.",5,7,26/10/2021,Xbox Game Pass (Beta),2021,"There are still some small improvements to be made - mainly in terms of connection stability during peak hours - which doesn't compromise the experience of being able to play great titles on the Xbox platform on your own cell phone without the need for a lot of processing power and memory, as everything is made in the cloud."
"Realmente muito bom! Muitos dizem que não dá pra jogar por causa de lag, ou atraso do controle, mais isso não é problema do xcloud e sim da internet da pessoa! Eu mesmo consigo jogar de boa sem nenhum atraso quando a net está boa, as vezes quando a net não fica tão boa ainda dá pra jogar, mais a qualidade diminuí muito. Só não entendo o porquê de do nada, a conexão do jogo cai, claro não acontece muito, mais as vezes acontece, mais não posso culpar o xcloud, porque ele ainda está em beta...",5,48,15/10/2021,Xbox Game Pass (Beta),2021,"Really very good! Many say that you can't play because of lag, or control delay, but that's not xcloud's problem, but the person's internet! I myself can play well without any delay when the net is good, sometimes when the net is not so good you can still play, but the quality has decreased a lot. I just don't understand why all of a sudden, the game connection drops, of course it doesn't happen much, but sometimes it happens, but I can't blame xcloud, because it's still in beta..."
"Está melhorando a qualidade do serviço, embora que ainda a passos lentos. A Microsoft também tem que ser mais transparente quando envia informações sobre as atualizações do APP, a gente fica a mercer de rumores. O catálogo de jogos é o ponto mais forte, vale a pena.",3,4,16/03/2022,Xbox Game Pass (Beta),2022,"The quality of service is improving, albeit at a slow pace. Microsoft also has to be more transparent when it sends information about APP updates, we are at the mercy of rumors. The game catalog is the strongest point, it's worth it."
